270-01-01 s_2s_7s_0s_pt
301-35-07 put
301-35-08 things
301-36-01 in
301-36-02 their
301-36-03 proper
301-36-04 channels_pt
301-37-01 We
301-37-02 suffer
301-37-03 greatly
301-37-04 for
301-37-05 want
301-37-06 of
301-37-07 Kets_mi
302-01-01 s_3s_0s_2s_pt
302-01-02 Letters
302-01-03 Orders
302-01-04 and
302-01-05 Instructionss_pt
302-01-06 December
302-01-07 s_1s_7s_5s_5s_pt
302-03-01 Kettless_qo
302-03-02 those
302-03-03 sent
302-03-04 from
302-03-05 below
302-03-06 being
302-03-07 Tins_cm
302-03-08 are
302-03-09 of
302-04-01 small
302-04-02 durations_pt
302-04-03 We
302-04-04 shall
302-04-05 also
302-04-06 in
302-04-07 a
302-04-08 little
302-04-09 times_cm
302-05-01 suffer
302-05-02 as
302-05-03 much
302-05-04 for
302-05-05 want
302-05-06 of
302-05-07 Clothings_sq
302-05-08 none
302-06-01 can
302-06-02 be
302-06-03 got
302-06-04 in
302-06-05 these
302-06-06 partss_qo
302-06-07 those
302-06-08 which
302-06-09 Major
302-07-01 Carlyle
302-07-02 and
302-07-03 Dalton
302-07-04 contracted
302-07-05 to
302-07-06 furnishs_cm
302-08-01 we
302-08-02 are
302-08-03 disappointed
302-08-04 offs_pt
302-08-05 Shoes
302-08-06 and
302-08-07 Stockings
302-09-01 we
302-09-02 haves_cm
302-09-03 and
302-09-04 can
302-09-05 get
302-09-06 more
302-09-07 if
302-09-08 wanteds_cm
302-09-09 but
302-10-01 nothing
302-10-02 elses_pt
302-10-03 I
302-10-04 should
302-10-05 be
302-10-06 glad
302-10-07 your
302-10-08 Honor
302-11-01 would
302-11-02 direct
302-11-03 what
302-11-04 is
302-11-05 to
302-11-06 be
302-11-07 done
302-11-08 in
302-11-09 these
302-11-10 cas_mi
302-12-01 sess_sq
302-12-02 and
302-12-03 that
302-12-04 you
302-12-05 would
302-12-06 be
302-12-07 kind
302-12-08 enough
302-12-09 to
302-13-01 desire
302-13-02 the
302-13-03 Treasurer
302-13-04 to
302-13-05 send
302-13-06 some
302-13-07 part
302-13-08 of
302-13-09 the
302-14-01 money
302-14-02 in
302-14-03 gold
302-14-04 and
302-14-05 silvers_qo
302-14-06 were
302-14-07 this
302-14-08 dones_cm
302-14-09 we
302-15-01 might
302-15-02 often
302-15-03 get
302-15-04 neces_ssaries
302-15-05 for
302-15-06 the
302-15-07 Regiment
302-16-01 in
302-16-02 Maryland
302-16-03 or
302-16-04 Pennsylvanias_cm
302-16-05 when
302-16-06 they
302-17-01 can
302-17-02 not
302-17-03 be
302-17-04 had
302-17-05 heres_pt
302-17-06 but
302-17-07 with
302-17-08 our
302-17-09 money
302-18-01 it
302-18-02 is
302-18-03 is
302-18-04 impos_ssibles_sq
302-18-05 our
302-18-06 paper
302-18-07 not
302-18-08 pas_ssing
302-18-09 theres_pt
302-19-01 The
302-19-02 recruiting
302-19-03 Service
302-19-04 goes
302-19-05 on
302-19-06 exs_mi
302-20-01 tremely
302-20-02 slows_pt
302-20-03 Yesterday
302-20-04 being
302-20-05 a
302-20-06 day
302-20-07 appointed
302-21-01 for
302-21-02 Rendezvousing
302-21-03 at
302-21-04 this
302-21-05 places_cm
302-21-06 there
302-21-07 came
302-21-08 in
302-22-01 ten
302-22-02 Officers
302-22-03 with
302-22-04 twenty
302-22-05 men
302-22-06 onlys_pt
302-22-07 If
302-22-08 I
302-22-09 had
302-23-01 any
302-23-02 other
302-23-03 than
302-23-04 paper
302-23-05 moneys_cm
302-23-06 and
302-23-07 you
302-23-08 appros_mi
302-24-01 ved
302-24-02 of
302-24-03 its_sq
302-24-04 I
302-24-05 would
302-24-06 send
302-24-07 to
302-24-08 Pennsylvania
302-25-01 and
302-25-02 the
302-25-03 Borders
302-25-04 of
302-25-05 Carolinas_qo
302-25-06 I
302-25-07 am
302-25-08 confidents_cm
302-26-01 men
302-26-02 might
302-26-03 be
302-26-04 had
302-26-05 theres_pt
302-26-06 Your
302-26-07 Honor
302-27-01 never
302-27-02 having
302-27-03 given
302-27-04 any
302-27-05 particular
302-27-06 Directis_mi
302-28-01 ons
302-28-02 about
302-28-03 the
302-28-04 Provisionss_sq
302-28-05 I
302-28-06 should
302-28-07 be
302-28-08 glad
302-28-09 to
302-29-01 knows_cm
302-29-02 whether
302-29-03 you
302-29-04 would
302-29-05 have
302-29-06 more
302-29-07 laid
302-29-08 in
302-30-01 than
302-30-02 what
302-30-03 will
302-30-04 serve
302-30-05 for
302-30-06 twelve
302-30-07 hundred
302-30-08 mens_sq
302-31-01 that
302-31-02 I
302-31-03 may
302-31-04 give
302-31-05 orders
302-31-06 accordinglys_pt
302-32-01 As
302-32-02 I
302-32-03 can
302-32-04 not
302-32-05 now
302-32-06 conceives_cm
302-32-07 that
302-33-01 any
302-33-02 great
302-33-03 danger
302-33-04 can
302-33-05 be
302-33-06 apprehended
302-33-07 at
302-34-01 Fort
302-34-02 Cumberland
302-34-03 this
302-34-04 Winters_sq
302-34-05 I
302-34-06 am
302-34-07 sensibles_cm
302-35-01 that
302-35-02 my
302-35-03 constant
302-35-04 attendance
302-35-05 theres_cm
302-35-06 can
302-35-07 not
303-02-01 Letters
303-02-02 Orders
303-02-03 and
303-02-04 Instructions
303-02-05 Decembers_pt
303-02-06 s_1s_7s_5s_5s_pt
303-04-01 be
303-04-02 so
303-04-03 serviceable
303-04-04 as
303-04-05 riding
303-04-06 from
303-04-07 place
303-04-08 making
303-04-09 the
303-05-01 proper
303-05-02 Dispositionss_cm
303-05-03 and
303-05-04 seeing
303-05-05 that
303-05-06 all
303-05-07 our
303-05-08 neces_ss_mi
303-06-01 saries
303-06-02 are
303-06-03 forwarded
303-06-04 up
303-06-05 with
303-06-06 dispatchs_pt
303-06-07 I
303-06-08 theres_mi
303-07-01 fore
303-07-02 think
303-07-03 it
303-07-04 advisable
303-07-05 to
303-07-06 inform
303-07-07 your
303-07-08 Honour
303-08-01 of
303-08-02 its_cm
303-08-03 hoping
303-08-04 that
303-08-05 it
303-08-06 will
303-08-07 correspond
303-08-08 with
303-08-09 your
303-08-10 own
303-08-11 opinions_pt
303-09-01 I
303-09-02 forgot
303-09-03 to
303-09-04 mention
303-09-05 when
303-09-06 I
303-09-07 was
303-09-08 downs_cm
303-09-09 that
303-09-10 Mrs_pt
303-09-11 Livings_mi
303-10-01 stons_cm
303-10-02 the
303-10-03 Fort
303-10-04 s_mi
303-10-05 Majors_cm
303-10-06 was
303-10-07 appointed
303-10-08 adjutant
303-10-09 to
303-10-10 our
303-11-01 Regiments_qo
303-11-02 s_mi
303-11-03 I
303-11-04 knew
303-11-05 of
303-11-06 none
303-11-07 else
303-11-08 whose
303-11-09 long
303-11-10 servitude
303-12-01 in
303-12-02 a
303-12-03 military
303-12-04 ways_cm
303-12-05 had
303-12-06 qualified
303-12-07 better
303-12-08 for
303-12-09 the
303-12-10 offices_cm
303-13-01 he
303-13-02 was
303-13-03 appointed
303-13-04 the
303-13-05 s_1s_7ths_pt
303-13-06 of
303-13-07 Septembers_pt
303-14-01 Captain
303-14-02 Mercers_qts
303-14-03 pays_cm
303-14-04 as
303-14-05 aid
303-14-06 de
303-14-07 camps_cm
303-15-01 seems
303-15-02 yet
303-15-03 doubtfuls_sq
303-15-04 I
303-15-05 should
303-15-06 be
303-15-07 glad
303-15-08 if
303-15-09 your
303-15-10 Honour
303-16-01 would
303-16-02 fix
303-16-03 its_qo
303-16-04 so
303-16-05 is
303-16-06 Captain
303-16-07 Stewartss_qo
303-16-08 If
303-16-09 Captain
303-16-10 Stews_mi
303-17-01 arts
303-17-02 is
303-17-03 encreaseds_cm
303-17-04 I
303-17-05 suppose
303-17-06 all
303-17-07 the
303-17-08 Officers
303-17-09 belonging
303-18-01 to
303-18-02 the
303-18-03 Light
303-18-04 Horse
303-18-05 will
303-18-06 expect
303-18-07 to
303-18-08 have
303-18-09 theirs
303-18-10 augmens_mi
303-19-01 ted
303-19-02 alsos_pt
303-19-03 Colonel
303-19-04 Stephenss_cm
303-19-05 in
303-19-06 a
303-19-07 late
303-19-08 letters_cm
303-19-09 diss_mi
303-20-01 covered
303-20-02 an
303-20-03 inclination
303-20-04 to
303-20-05 go
303-20-06 to
303-20-07 the
303-20-08 Creek
303-20-09 and
303-20-10 Ches_mi
303-21-01 rokee
303-21-02 Indians
303-21-03 this
303-21-04 Winters_pt
303-21-05 I
303-21-06 told
303-21-07 him
303-21-08 where
303-21-09 to
303-21-10 aps_mi
303-22-01 plys_cm
303-22-02 if
303-22-03 he
303-22-04 had
303-22-05 any
303-22-06 such
303-22-07 thoughtss_pt
303-22-08 I
303-22-09 believes_cm
303-22-10 on
303-23-01 so
303-23-02 useful
303-23-03 a
303-23-04 Busines_sss_cm
303-23-05 he
303-23-06 might
303-23-07 be
303-23-08 spared
303-23-09 until
303-24-01 the
303-24-02 Springs_pt
303-24-03 If
303-24-04 your
303-24-05 Honor
303-24-06 think
303-24-07 proper
303-24-08 to
303-24-09 ors_mi
303-25-01 der
303-25-02 the
303-25-03 Act
303-25-04 of
303-25-05 As_ssembly
303-25-06 for
303-25-07 apprehending
303-25-08 Desers_mi
303-26-01 terss_cm
303-26-02 and
303-26-03 against
303-26-04 harbouring
303-26-05 thems_cm
303-26-06 to
303-26-07 be
303-26-08 published
303-27-01 every
303-27-02 Sunday
303-27-03 in
303-27-04 each
303-27-05 parish
303-27-06 Churchs_cm
303-27-07 until
303-27-08 the
303-28-01 people
303-28-02 were
303-28-03 made
303-28-04 acquainted
303-28-05 with
303-28-06 the
303-28-07 Laws_cm
303-28-08 it
303-28-09 would
303-29-01 have
303-29-02 a
303-29-03 very
303-29-04 good
303-29-05 effects_pt
303-29-06 The
303-29-07 Commonalty
303-29-08 in
303-29-09 genes_mi
303-30-01 rals_cm
303-30-02 or
303-30-03 more
303-30-04 through
303-30-05 ignorance
303-30-06 than
303-30-07 designs_qo
303-30-08 few
303-31-01 of
303-31-02 them
303-31-03 are
303-31-04 acquainted
303-31-05 that
303-31-06 such
303-31-07 a
303-31-08 Law
303-31-09 existss_qo
303-31-10 and
303-32-01 there
303-32-02 is
303-32-03 no
303-32-04 other
303-32-05 certain
303-32-06 way
303-32-07 of
303-32-08 bringing
303-32-09 it
303-32-10 to
303-32-11 their
303-33-01 knowledges_pt
303-33-02 There
303-33-03 are
303-33-04 a
303-33-05 great
303-33-06 many
303-33-07 of
303-33-08 the
303-33-09 men
303-34-01 that
303-34-02 did
303-34-03 once
303-34-04 belong
303-34-05 to
303-34-06 our
303-34-07 Companiess_cm
303-34-08 deserted
303-35-01 from
303-35-02 the
303-35-03 Regiments
303-35-04 into
303-35-05 which
303-35-06 they
303-35-07 were
303-35-08 draughs_mi
303-36-01 teds_cm
303-36-02 that
303-36-03 would
303-36-04 now
303-36-05 gladly
303-36-06 return
303-36-07 if
303-36-08 they
303-36-09 could
304-01-01 s_3s_0s_4s_pt
304-01-02 Letters
304-01-03 Orders
304-01-04 and
304-01-05 Instructionss_pt
304-01-06 December
304-01-07 s_1s_7s_5s_5s_pt
304-03-01 be
304-03-02 sure
304-03-03 of
304-03-04 idemnitys_pt
304-03-05 If
304-03-06 your
304-03-07 Honor
304-03-08 would
304-04-01 be
304-04-02 kind
304-04-03 enough
304-04-04 to
304-04-05 intimate
304-04-06 this
304-04-07 to
304-04-08 General
304-05-01 Shirleys_cm
304-05-02 or
304-05-03 the
304-05-04 Colonels
304-05-05 of
304-05-06 those
304-05-07 Regimentss_cm
304-05-08 s_mi
304-05-09 it
304-06-01 would
304-06-02 be
304-06-03 of
304-06-04 service
304-06-05 to
304-06-06 uss_qo
304-06-07 without
304-06-08 leave
304-06-09 we
304-07-01 dare
304-07-02 not
304-07-03 receive
304-07-04 thems_pt
304-07-05 s_etcs_pt
304-08-01 s_GW
304-09-01 Alexandrias_qo
304-09-02 December
304-10-01 s_5ths_pt
304-10-02 s_1s_7s_5s_5s_pt
304-11-01 s_5ths_pt
304-11-02 To
304-11-03 John
304-11-04 Robinson
304-11-05 Esquires_cm
304-11-06 Speakers_pt
304-12-01 The
304-12-02 Bearers_cm
304-12-03 captain
304-12-04 John
304-12-05 Mercers_cm
304-13-01 having
304-13-02 leave
304-13-03 to
304-13-04 go
304-13-05 down
304-13-06 and
304-13-07 Settle
304-13-08 his
304-13-09 acs_mi
304-14-01 compts
304-14-02 with
304-14-03 the
304-14-04 Committees_sq
304-14-05 is
304-14-06 ordered
304-14-07 to
304-15-01 call
304-15-02 upon
304-15-03 you
304-15-04 for
304-15-05 the
304-15-06 balance
304-15-07 of
304-15-08 the
304-15-09 ten
304-16-01 thousand
304-16-02 poundss_cm
304-16-03 which
304-16-04 I
304-16-05 believe
304-16-06 we
304-16-07 shall
304-17-01 want
304-17-02 before
304-17-03 another
304-17-04 opportunity
304-17-05 may
304-17-06 offers_sq
304-18-01 this
304-18-02 being
304-18-03 the
304-18-04 time
304-18-05 when
304-18-06 our
304-18-07 Demands
304-18-08 for
304-19-01 money
304-19-02 are
304-19-03 greatests_pt
304-19-04 When
304-19-05 I
304-19-06 left
304-19-07 Willis_mi
304-20-01 amsburghs_cm
304-20-02 I
304-20-03 intended
304-20-04 to
304-20-05 proceed
304-20-06 to
304-20-07 Winchess_mi
304-21-01 ters_sq
304-21-02 but
304-21-03 meeting
304-21-04 with
304-21-05 Letters
304-21-06 at
304-21-07 Frederickss_mi
304-22-01 burghs_cm
304-22-02 informing
304-22-03 me
304-22-04 that
304-22-05 peace
304-22-06 prevailed
304-23-01 aboves_cm
304-23-02 and
304-23-03 that
304-23-04 nothing
304-23-05 was
304-23-06 immediates_mi
304-24-01 ly
304-24-02 wanted
304-24-03 but
304-24-04 Salts_sq
304-24-05 I
304-24-06 came
304-24-07 up
304-24-08 here
304-24-09 to
304-24-10 ens_mi
304-25-01 gage
304-25-02 what
304-25-03 I
304-25-04 coulds_cm
304-25-05 and
304-25-06 to
304-25-07 wait
304-25-08 the
304-25-09 arrival
304-26-01 of
304-26-02 some
304-26-03 Recruits
304-26-04 at
304-26-05 this
304-26-06 places_sq
304-26-07 and
304-26-08 a
304-26-09 Ves_ssel
304-27-01 with
304-27-02 sundry
304-27-03 armss_cm
304-27-04 s_etcs_pt
304-27-05 for
304-27-06 the
304-27-07 Troopss_pt
304-27-08 This
304-27-09 Ves_ss_mi
304-28-01 sel
304-28-02 left
304-28-03 Williamsburgh
304-28-04 two
304-28-05 days
304-28-06 after
304-28-07 I
304-28-08 dids_cm
304-29-01 and
304-29-02 is
304-29-03 not
304-29-04 yet
304-29-05 arriveds_qo
304-29-06 neither
304-29-07 is
304-29-08 the
304-29-09 Exs_mi
304-30-01 pres_ss
304-30-02 returneds_cm
304-30-03 which
304-30-04 the
304-30-05 Governor
304-30-06 sent
304-30-07 to
304-31-01 General
304-31-02 Shirley
304-31-03 for
304-31-04 Commis_ssions
304-31-05 for
304-31-06 the
304-32-01 Field
304-32-02 Officers
304-32-03 of
304-32-04 our
304-32-05 Regiments_qo
304-32-06 which
304-32-07 gives
304-33-01 me
304-33-02 much
304-33-03 concerns_sq
304-33-04 fearing
304-33-05 that
304-33-06 this
304-33-07 des_mi
304-34-01 lay
304-34-02 is
304-34-03 ominouss_pt
304-34-04 In
304-34-05 that
304-34-06 cases_cm
304-34-07 I
304-34-08 shall
304-34-09 not
304-35-01 know
304-35-02 how
304-35-03 to
304-35-04 acts_sq
304-35-05 s_mi
304-35-06 it
304-35-07 will
304-35-08 be
304-35-09 useles_ss
304-35-10 for
304-35-11 me
305-01-01 ps_pts_3s_0s_5
305-02-01 Letters
305-02-02 Orders
305-02-03 and
305-02-04 Instructionss_pt
305-02-05 December
305-02-06 s_1s_7s_5s_5s_pt
305-04-01 to
305-04-02 go
305-04-03 to
305-04-04 a
305-04-05 place
305-04-06 where
305-04-07 I
305-04-08 am
305-04-09 to
305-04-10 be
305-04-11 commanded
305-05-01 and
305-05-02 directed
305-05-03 by
305-05-04 anothers_cm
305-05-05 who
305-05-06 can
305-05-07 have
305-05-08 no
305-06-01 other
305-06-02 pretences_cm
305-06-03 than
305-06-04 that
305-06-05 of
305-06-06 having
305-06-07 a
305-06-08 commis_ss_mi
305-07-01 sion
305-07-02 from
305-07-03 the
305-07-04 Kings_pt
305-08-01 We
305-08-02 shall
305-08-03 suffer
305-08-04 very
305-08-05 greatly
305-08-06 in
305-08-07 a
305-08-08 little
305-09-01 times_cm
305-09-02 for
305-09-03 want
305-09-04 of
305-09-05 Clothing
305-09-06 for
305-09-07 the
305-09-08 Soldierss_sq
305-09-09 and
305-09-10 none
305-10-01 can
305-10-02 be
305-10-03 had
305-10-04 heres_cm
305-10-05 nor
305-10-06 in
305-10-07 shorts_cm
305-10-08 I
305-10-09 believe
305-10-10 in
305-10-11 the
305-11-01 Countrys_pt
305-11-02 Those
305-11-03 which
305-11-04 Carlyle
305-11-05 and
305-11-06 Dalton
305-11-07 cons_mi
305-12-01 tracted
305-12-02 to
305-12-03 furnishs_cm
305-12-04 we
305-12-05 are
305-12-06 disappointed
305-12-07 ins_sq
305-12-08 and
305-13-01 they
305-13-02 says_cm
305-13-03 they
305-13-04 have
305-13-05 searched
305-13-06 all
305-13-07 the
305-13-08 Stores
305-13-09 in
305-14-01 Marylands_cm
305-14-02 as
305-14-03 well
305-14-04 as
305-14-05 this
305-14-06 part
305-14-07 of
305-14-08 Virginias_cm
305-14-09 and
305-15-01 none
305-15-02 are
305-15-03 able
305-15-04 to
305-15-05 furnish
305-15-06 Clothess_pt
305-15-07 We
305-15-08 have
305-16-01 sustained
305-16-02 inconceivable
305-16-03 los_sses
305-16-04 by
305-16-05 the
305-16-06 commis_ss_mi
305-17-01 saries
305-17-02 delayss_qo
305-17-03 many
305-17-04 of
305-17-05 the
305-17-06 Carolina
305-17-07 Beeves
305-18-01 are
305-18-02 deads_cm
305-18-03 through
305-18-04 poverty
305-18-05 and
305-18-06 bad
305-18-07 manages_mi
305-19-01 ments_sq
305-19-02 and
305-19-03 the
305-19-04 chief
305-19-05 of
305-19-06 them
305-19-07 are
305-19-08 too
305-19-09 poor
305-19-10 to
305-20-01 slaughters_pt
305-20-02 Pray
305-20-03 make
305-20-04 my
305-20-05 Compliments
305-21-01 to
305-21-02 my
305-21-03 Friends
305-21-04 belows_sq
305-21-05 and
305-21-06 believe
305-21-07 me
305-21-08 s_etcs_pt
305-22-01 s_GW
305-23-01 Ps_ptSs_pt
305-23-02 The
305-23-03 Committees_cm
305-23-04 I
305-23-05 believes_cm
305-24-01 have
305-24-02 not
305-24-03 yet
305-24-04 fixed
305-24-05 the
305-24-06 pay
305-24-07 of
305-25-01 the
305-25-02 Lieutenant
305-25-03 Colonel
305-25-04 and
305-25-05 Majors_pt
305-26-01 Pray
305-26-02 propose
305-26-03 its_cm
305-26-04 and
305-26-05 let
305-26-06 me
305-26-07 know
305-27-01 their
305-27-02 Resolvess_pt
305-28-01 Alexandria
305-28-02 December
305-28-03 s_5ths_pt
305-28-04 s_1s_7s_5s_5s_pt
305-30-01 s_5th
305-30-02 To
305-30-03 Lieutenant
305-30-04 George
305-30-05 Fraziers_cm
305-31-01 at
305-31-02 Fredericksburghs_pt
305-32-01 As
305-32-02 a
305-32-03 quantity
305-32-04 of
305-32-05 Salt
305-32-06 is
305-32-07 wanted
305-32-08 at
305-33-01 Fort
305-33-02 Cumberland
305-33-03 for
305-33-04 curing
305-33-05 the
305-33-06 provisionss_cm
305-33-07 you
305-34-01 must
305-34-02 endeavour
305-34-03 to
305-34-04 purchase
305-34-05 it
305-34-06 upon
305-34-07 the
305-34-08 best
305-35-01 terms
305-35-02 you
305-35-03 cans_sq
305-35-04 and
305-35-05 I
305-35-06 shall
305-35-07 fulfil
305-35-08 any
305-35-09 contract
305-36-01 you
305-36-02 may
305-36-03 enter
305-36-04 intos_pt
305-36-05 What
305-36-06 I
305-36-07 have
305-36-08 engaged
305-36-09 here
306-01-01 s_3s_0s_6s_pt
306-01-02 Letters
306-01-03 Orders
306-01-04 and
306-01-05 Instructionss_pt
306-01-06 Decems_pt
306-01-07 s_1s_7s_5s_5
306-03-01 has
306-03-02 been
306-03-03 at
306-03-04 s_2s_ss_sls_pt
306-03-05 per
306-03-06 bushels_pt
306-03-07 You
306-03-08 may
306-03-09 procure
306-04-01 six
306-04-02 or
306-04-03 eight
306-04-04 hundred
306-04-05 bushel
306-04-06 at
306-04-07 that
306-04-08 rates_cm
306-05-01 and
306-05-02 see
306-05-03 that
306-05-04 they
306-05-05 are
306-05-06 forwarded
306-05-07 to
306-05-08 Winchess_mi
306-06-01 ter
306-06-02 as
306-06-03 expeditiously
306-06-04 as
306-06-05 pos_ssibles_qo
306-06-06 in
306-06-07 order
306-06-08 to
306-06-09 do
306-07-01 thiss_cm
306-07-02 you
306-07-03 must
306-07-04 hire
306-07-05 and
306-07-06 impres_ss
306-07-07 waggonss_qo
306-08-01 those
306-08-02 Horses
306-08-03 which
306-08-04 were
306-08-05 sent
306-08-06 round
306-08-07 from
306-09-01 Williamsburghs_cm
306-09-02 are
306-09-03 also
306-09-04 to
306-09-05 go
306-09-06 ups_sq
306-09-07 and
306-09-08 a
306-09-09 milis_mi
306-10-01 tary
306-10-02 Chest
306-10-03 which
306-10-04 Mrs_pt
306-10-05 Allen
306-10-06 made
306-10-07 for
306-10-08 mes_cm
306-10-09 is
306-11-01 to
306-11-02 receive
306-11-03 the
306-11-04 first
306-11-05 conveyance
306-11-06 You
306-11-07 are
306-11-08 to
306-12-01 remain
306-12-02 in
306-12-03 Fredericksburgh
306-12-04 and
306-12-05 Falmouths_cm
306-13-01 seeing
306-13-02 these
306-13-03 things
306-13-04 dones_cm
306-13-05 until
306-13-06 further
306-13-07 Orderss_pt
306-14-01 All
306-14-02 the
306-14-03 Recruits
306-14-04 which
306-14-05 now
306-14-06 ares_cm
306-14-07 and
306-14-08 shall
306-15-01 arrive
306-15-02 at
306-15-03 Fredericksburghs_cm
306-15-04 between
306-15-05 this
306-15-06 and
306-16-01 the
306-16-02 s_2s_5ths_pt
306-16-03 Instants_cm
306-16-04 must
306-16-05 immediately
306-16-06 proceed
306-17-01 to
306-17-02 the
306-17-03 Rendezvous
306-17-04 at
306-17-05 Winchesters_pt
306-18-01 Ns_qoBs_pt
306-18-02 Enquire
306-18-03 of
306-18-04 Mrs_pt
306-18-05 Dick
306-18-06 and
306-18-07 other
306-18-08 Mers_mi
306-19-01 chantss_cm
306-19-02 whether
306-19-03 Commis_ssary
306-19-04 Walker
306-19-05 has
306-19-06 ens_mi
306-20-01 gaged
306-20-02 Salt
306-20-03 of
306-20-04 thems_qo
306-20-05 if
306-20-06 he
306-20-07 hass_cm
306-20-08 you
306-20-09 have
306-21-01 then
306-21-02 only
306-21-03 to
306-21-04 forward
306-21-05 it
306-21-06 ups_pt
306-22-01 Alexandrias_qo
306-22-02 December
306-22-03 s_5ths_pt
306-22-04 s_1s_7s_5s_5s_pt
306-24-01 s_8ths_pt
306-24-02 To
306-24-03 Captain
306-24-04 Robert
306-24-05 Stewarts_cm
306-25-01 at
306-25-02 Winchesters_pt
306-26-01 You
306-26-02 are
306-26-03 hereby
306-26-04 required
306-26-05 to
306-26-06 take
306-27-01 charge
306-27-02 of
306-27-03 the
306-27-04 Recruits
306-27-05 sent
306-27-06 to
306-27-07 Winchester
306-27-08 by
306-28-01 Captain
306-28-02 Gists_cm
306-28-03 whose
306-28-04 Son
306-28-05 you
306-28-06 must
306-28-07 Order
306-29-01 to
306-29-02 proceed
306-29-03 immediately
306-29-04 and
306-29-05 join
306-29-06 his
306-29-07 Fathers_pt
306-30-01 Captain
306-30-02 Gist
306-30-03 this
306-30-04 day
306-30-05 received
306-31-01 one
306-31-02 hundred
306-31-03 pounds
306-31-04 to
306-31-05 recruit
306-31-06 withs_sq
306-31-07 and
306-32-01 the
306-32-02 same
306-32-03 Orders
306-32-04 that
306-32-05 were
306-32-06 given
306-32-07 to
306-32-08 the
306-32-09 os_mi
306-33-01 ther
306-33-02 officers
306-33-03 on
306-33-04 the
306-33-05 s_3rds_pt
306-33-06 instant
306-33-07 s_etcs_pt
306-34-01 s_GW
306-35-01 Alexandrias_qo
306-35-02 December
306-35-03 s_8ths_pt
306-35-04 s_1s_7s_5s_5s_pt
307-02-01 Letters
307-02-02 Orders
307-02-03 and
307-02-04 Instructionss_pt
307-02-05 December
307-02-06 s_1s_7s_5s_5s_pt
307-04-01 s_1s_0ths_pt
307-04-02 Alexandria
307-04-03 December
307-04-04 s_1s_0ths_pt
307-04-05 s_1s_7s_5s_5s_pt
307-05-01 A
307-05-02 Sergeant
307-05-03 and
307-05-04 twelve
307-05-05 mens_cm
307-05-06 to
307-05-07 be
307-06-01 in
307-06-02 readines_ss
307-06-03 to
307-06-04 escort
307-06-05 a
307-06-06 waggon
307-06-07 up
307-06-08 to
307-06-09 Winchester
307-06-10 tos_mi
307-07-01 morrows_pt
307-09-01 s_1s_1ths_pt
307-09-02 To
307-09-03 Sergeant
307-09-04 Campbells_cm
307-09-05 of
307-09-06 the
307-09-07 Virginia
307-09-08 Regiments_pt
307-10-01 You
307-10-02 are
307-10-03 to
307-10-04 be
307-10-05 particularly
307-10-06 careful
307-10-07 of
307-10-08 the
307-11-01 Waggons
307-11-02 s_etcs_pt
307-11-03 under
307-11-04 your
307-11-05 charges_cm
307-11-06 and
307-11-07 are
307-11-08 to
307-11-09 see
307-11-10 that
307-11-11 centis_mi
307-12-01 nels
307-12-02 are
307-12-03 kept
307-12-04 over
307-12-05 thems_pt
307-12-06 If
307-12-07 any
307-12-08 just
307-12-09 complaint
307-12-10 is
307-12-11 made
307-13-01 of
307-13-02 the
307-13-03 misbehaviour
307-13-04 of
307-13-05 the
307-13-06 party
307-13-07 under
307-13-08 your
307-13-09 commands_cm
307-14-01 upon
307-14-02 their
307-14-03 marchs_cm
307-14-04 you
307-14-05 will
307-14-06 be
307-14-07 punished
307-14-08 by
307-14-09 a
307-14-10 Court
307-14-11 Mars_mi
307-15-01 tial
307-15-02 s_mis_pt
307-15-03 You
307-15-04 are
307-15-05 to
307-15-06 see
307-15-07 that
307-15-08 the
307-15-09 waggoners
307-15-10 do
307-15-11 not
307-15-12 loiter
307-16-01 or
307-16-02 idle
307-16-03 their
307-16-04 times_sq
307-16-05 but
307-16-06 make
307-16-07 the
307-16-08 utmost
307-16-09 dispatch
307-16-10 to
307-17-01 Winchesters_pt
307-17-02 So
307-17-03 soon
307-17-04 as
307-17-05 you
307-17-06 arrive
307-17-07 at
307-17-08 Winchesters_cm
307-17-09 you
307-18-01 are
307-18-02 to
307-18-03 deliver
307-18-04 the
307-18-05 things
307-18-06 to
307-18-07 the
307-18-08 Commis_ssary
307-18-09 theres_cm
307-18-10 and
307-19-01 are
307-19-02 to
307-19-03 take
307-19-04 his
307-19-05 receipt
307-19-06 for
307-19-07 thems_pt
307-20-01 Given
307-20-02 at
307-20-03 Alexandrias_cm
307-20-04 s_etcs_pt
307-20-05 December
307-21-01 s_1s_1ths_pt
307-21-02 s_1s_7s_5s_5s_pt
307-22-01 s_GW
307-22-02 Aide
307-22-03 de
307-22-04 camps_pt
307-24-01 s_1s_6ths_pt
307-24-02 To
307-24-03 Captainss_qt
307-24-04 Savage
307-24-05 and
307-24-06 Mcs_ptKenzie
307-25-01 You
307-25-02 are
307-25-03 ordered
307-25-04 to
307-25-05 remain
307-25-06 here
307-25-07 with
307-26-01 your
307-26-02 Recruits
307-26-03 until
307-26-04 further
307-26-05 orderss_pt
307-26-06 So
307-26-07 soon
307-26-08 as
307-26-09 you
307-26-10 ars_mi
307-27-01 rive
307-27-02 heres_cm
307-27-03 your
307-27-04 men
307-27-05 will
307-27-06 be
307-27-07 supplied
307-27-08 with
307-27-09 Clothes
307-27-10 by
307-28-01 applying
